"","GrLivArea","Neighborhood","OverallQual","TotalBsmtSF","LotArea","BsmtFinSF1","ExterQual","MSZoning","MSSubClass","KitchenQual","OverallCond","KitchenAbvGr","BedroomAbvGr","MasVnrArea","GarageQual","SalePrice"
"1",1710,"CollgCr",7,856,8450,706,"Gd","RL",60,"Gd",5,1,3,196,"TA",208500
"2",1262,"Veenker",6,1262,9600,978,"TA","RL",20,"TA",8,1,3,0,"TA",181500
"3",1786,"CollgCr",7,920,11250,486,"Gd","RL",60,"Gd",5,1,3,162,"TA",223500
"4",1717,"Crawfor",7,756,9550,216,"TA","RL",70,"Gd",5,1,3,0,"TA",140000
"5",2198,"NoRidge",8,1145,14260,655,"Gd","RL",60,"Gd",5,1,4,350,"TA",250000
"6",1362,"Mitchel",5,796,14115,732,"TA","RL",50,"TA",5,1,1,0,"TA",143000
"7",1694,"Somerst",8,1686,10084,1369,"Gd","RL",20,"Gd",5,1,3,186,"TA",307000
"8",2090,"NWAmes",7,1107,10382,859,"TA","RL",60,"TA",6,1,3,240,"TA",200000
"9",1774,"OldTown",7,952,6120,0,"TA","RM",50,"TA",5,2,2,0,"Fa",129900
"10",1077,"BrkSide",5,991,7420,851,"TA","RL",190,"TA",6,2,2,0,"Gd",118000
"11",1040,"Sawyer",5,1040,11200,906,"TA","RL",20,"TA",5,1,3,0,"TA",129500
"12",2324,"NridgHt",9,1175,11924,998,"Ex","RL",60,"Ex",5,1,4,286,"TA",345000
"13",912,"Sawyer",5,912,12968,737,"TA","RL",20,"TA",6,1,2,0,"TA",144000
"14",1494,"CollgCr",7,1494,10652,0,"Gd","RL",20,"Gd",5,1,3,306,"TA",279500
"15",1253,"NAmes",6,1253,10920,733,"TA","RL",20,"TA",5,1,2,212,"TA",157000
"16",854,"BrkSide",7,832,6120,0,"TA","RM",45,"TA",8,1,2,0,"TA",132000
"17",1004,"NAmes",6,1004,11241,578,"TA","RL",20,"TA",7,1,2,180,"TA",149000
"18",1296,"Sawyer",4,0,10791,0,"TA","RL",90,"TA",5,2,2,0,"TA",90000
"19",1114,"SawyerW",5,1114,13695,646,"TA","RL",20,"Gd",5,1,3,0,"TA",159000
"20",1339,"NAmes",5,1029,7560,504,"TA","RL",20,"TA",6,1,3,0,"TA",139000
"21",2376,"NridgHt",8,1158,14215,0,"Gd","RL",60,"Gd",5,1,4,380,"TA",325300
"22",1108,"IDOTRR",7,637,7449,0,"TA","RM",45,"Gd",7,1,3,0,"TA",139400
"23",1795,"CollgCr",8,1777,9742,0,"Gd","RL",20,"Gd",5,1,3,281,"TA",230000
"24",1060,"MeadowV",5,1040,4224,840,"TA","RM",120,"TA",7,1,3,0,"TA",129900
"25",1060,"Sawyer",5,1060,8246,188,"TA","RL",20,"Gd",8,1,3,0,"TA",154000
"26",1600,"NridgHt",8,1566,14230,0,"Gd","RL",20,"Gd",5,1,3,640,"TA",256300
"27",900,"NAmes",5,900,7200,234,"TA","RL",20,"Gd",7,1,3,0,"TA",134800
"28",1704,"NridgHt",8,1704,11478,1218,"Gd","RL",20,"Gd",5,1,3,200,"TA",306000
"29",1600,"NAmes",5,1484,16321,1277,"TA","RL",20,"TA",6,1,2,0,"TA",207500
"30",520,"BrkSide",4,520,6324,0,"TA","RM",30,"Fa",6,1,1,0,"Fa",68500
"31",1317,"IDOTRR",4,649,8500,0,"TA","C (all)",70,"TA",4,1,3,0,"TA",40000
"32",1228,"Sawyer",5,1228,8544,0,"TA","RL",20,"Gd",6,1,3,0,"TA",149350
"33",1234,"CollgCr",8,1234,11049,0,"Gd","RL",20,"Gd",5,1,3,0,"TA",179900
"34",1700,"NAmes",5,1398,10552,1018,"TA","RL",20,"Gd",5,1,4,0,"TA",165500
"35",1561,"NridgHt",9,1561,7313,1153,"Ex","RL",120,"Ex",5,1,2,246,"TA",277500
"36",2452,"NridgHt",8,1117,13418,0,"Gd","RL",60,"Gd",5,1,4,132,"TA",309000
"37",1097,"CollgCr",5,1097,10859,0,"TA","RL",20,"TA",5,1,3,0,"TA",145000
"38",1297,"NAmes",5,1297,8532,1213,"TA","RL",20,"TA",6,1,3,650,"TA",153000
"39",1057,"NAmes",5,1057,7922,731,"TA","RL",20,"Gd",7,1,3,0,"TA",109000
"40",1152,"Edwards",4,0,6040,0,"TA","RL",90,"Fa",5,2,2,0,"",82000
"41",1324,"NAmes",6,1088,8658,643,"TA","RL",20,"TA",5,1,3,101,"TA",160000
